food,calories,protein,carbs,fats,cost,tags
"Hummus, commercial",229,7.35,14.9,17.1,1.0,veg
"Tomatoes, grape, raw",113,0.83,5.51,0.63,1.0,veg
"Beans, snap, green, canned, regular pack, drained solids",86.0,1.04,4.11,0.39,1.0,veg
"Frankfurter, beef, unheated",1310.0,11.7,2.89,28.0,1.0,veg
"Nuts, almonds, dry roasted, with salt added",2590.0,20.4,16.2,57.8,1.0,veg
"Kale, raw",35.0,2.92,4.42,1.49,1.0,veg
"Egg, whole, raw, frozen, pasteurized",150,12.3,0.91,10.3,1.0,veg
"Egg, white, raw, frozen, pasteurized",201,10.1,0.74,0.16,1.0,veg
"Egg, white, dried",376,79.9,6.02,0.65,1.0,veg
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1210.0,4.52,36.3,14.4,1.0,veg
"Pickles, cucumber, dill or kosher dill",12.0,0.48,1.99,0.43,1.0,veg
"Cheese, parmesan, grated",1760.0,29.6,12.4,28.0,1.0,veg
"Cheese, pasteurized process, American, vitamin D fortified",366,18.0,5.27,30.6,1.0,veg
"Grapefruit juice, white, canned or bottled, unsweetened",37.0,0.55,7.59,0.7,1.0,veg
"Peaches, yellow, raw",174,0.91,10.1,0.27,1.0,veg
"Seeds, sunflower seed kernels, dry roasted, with salt added",2560.0,21.0,17.1,56.1,1.0,veg
"Bread, white, commercially prepared",1130.0,9.43,49.2,3.59,1.0,veg
"Kale, frozen, cooked, boiled, drained, without salt",151,2.94,5.3,1.21,1.0,veg
"Mustard, prepared, yellow",61.0,4.25,5.3,3.38,1.0,veg
"Kiwifruit, green, raw",241,1.06,14.0,0.44,1.0,veg
"Nectarines, raw",39.0,1.06,9.18,0.28,1.0,veg
"Cheese, cheddar",1710.0,23.3,2.44,34.0,1.0,veg
"Cheese, cottage, lowfat, 2% milkfat",352,11.0,4.31,2.3,1.0,veg
"Cheese, mozzarella, low moisture, part-skim",298,23.7,4.44,20.4,1.0,veg
"Egg, whole, dried",575,48.1,1.87,39.8,1.0,veg
"Egg, yolk, raw, frozen, pasteurized",1240.0,15.6,0.59,25.1,1.0,veg
"Egg, yolk, dried",2740.0,34.2,1.07,55.5,1.0,veg
"Yogurt, Greek, plain, nonfat",61.0,10.3,3.64,0.37,1.0,veg
"Yogurt, Greek, strawberry, nonfat",347,8.06,12.2,0.15,1.0,veg
"Oil, coconut",833,0.0,0.84,99.1,1.0,veg
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156,23.9,0.0,5.95,1.0,veg
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",695,32.1,0.0,3.24,1.0,veg
"Sauce, pasta, spaghetti/marinara, ready-to-serve",186,1.41,8.05,1.48,1.0,veg
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",106,16.7,0.27,3.73,1.0,veg
"Olives, green, Manzanilla, stuffed with pimiento",543,1.15,4.96,12.9,1.0,veg
"Cookies, oatmeal, soft, with raisins",1800.0,5.79,69.6,14.3,1.0,veg
"Tomatoes, canned, red, ripe, diced",76.0,0.84,3.32,0.5,1.0,veg
"Fish, haddock, raw",308,16.3,0.0,0.45,1.0,veg
"Fish, pollock, raw",235,12.3,0.0,0.41,1.0,veg
